date | value
2009-01-01 | 1
2009-01-29 | 1
2009-02-29 | 1
2009-03-29 | 1
2009-04-29 | 1
2009-05-29 | 1
2009-06-29 | 1
2009-07-29 | 1
2009-08-29 | 1
2009-09-29 | 1
2009-10-29 | 1
2009-11-29 | 1
2009-12-29 | 1
2010-01-29 | 1
2010-02-29 | 1
2010-03-29 | 1
2010-04-29 | 1
2010-05-29 | 1
2010-06-29 | 1
2010-07-29 | 1
2010-08-29 | 1
2010-09-29 | 1
2010-10-29 | 1
2010-11-29 | 1
2010-12-29 | 1
2011-01-29 | 1
2011-02-29 | 1
2011-03-29 | 1
2011-04-29 | 1
2011-05-29 | 1
2011-06-29 | 1
2011-07-29 | 1
2011-08-29 | 1
2011-09-29 | 1
2011-10-29 | 1
2011-11-29 | 1
2011-12-29 | 1
2012-01-29 | 1
2012-02-29 | 1
2012-03-29 | 1
2012-04-29 | 1
2012-05-29 | 1
2012-06-29 | 1
2012-07-29 | 1
2012-08-29 | 1
2012-09-29 | 1
2012-10-29 | 1
2012-11-29 | 1
2012-12-29 | 1
2013-01-29 | 1
2013-02-29 | 1
2013-03-29 | 1
2013-04-29 | 1
2013-05-29 | 1
2013-06-29 | 1
2013-07-29 | 1
2013-08-29 | 1
2013-09-29 | 1
2013-10-29 | 1
2013-11-29 | 1
2013-12-29 | 1
2014-01-29 | 1
2014-02-29 | 1
2014-03-29 | 1
2014-04-29 | 1
2014-05-29 | 1
2014-06-29 | 1
2014-07-29 | 1
2014-08-29 | 1
2014-09-29 | 1
2014-10-29 | 1
2014-11-29 | 1
2014-12-29 | 1
2015-01-29 | 1
2015-02-29 | 1
2015-03-29 | 1
2015-04-29 | 1
2015-05-29 | 1
2015-06-29 | 1
2015-07-29 | 1
2015-08-29 | 1
2015-09-29 | 1
2015-10-29 | 1
2015-11-29 | 1
2015-12-29 | 1
2016-01-29 | 1
2016-02-29 | 1
2016-03-29 | 1
2016-04-29 | 1
2016-05-29 | 1
2016-06-29 | 1
2016-07-29 | 1
2016-08-29 | 1
2016-09-29 | 1
2016-10-29 | 1
2016-11-29 | 1
2016-12-29 | 1
2017-01-29 | 1
2017-02-29 | 1
2017-03-29 | 1
2017-04-29 | 1
2017-05-29 | 1
2017-06-29 | 1
2017-07-29 | 1
2017-08-29 | 1
2017-09-29 | 1
2017-10-29 | 1
2017-11-29 | 1
2017-12-29 | 1
2018-01-29 | 1
2018-02-29 | 1
2018-03-29 | 1
2018-04-29 | 1
2018-05-29 | 1
2018-06-29 | 1
2018-07-29 | 1
2018-08-29 | 1
2018-09-29 | 1
2018-10-29 | 1
2018-11-29 | 1
2018-12-29 | 1
2019-01-29 | 1
2019-02-29 | 1
2019-03-29 | 1
2019-04-29 | 1
2019-05-29 | 1
2019-06-29 | 1
2019-07-29 | 1
2019-08-29 | 1
2019-09-29 | 1
2019-10-29 | 1
2019-11-29 | 1
2019-12-29 | 1
2020-01-29 | 1
2020-02-29 | 1
2020-03-29 | 1
2020-04-29 | 1
2020-05-29 | 1
2020-06-29 | 1
2020-07-29 | 1
2020-08-29 | 1
2020-09-29 | 1
2020-10-29 | 1
2020-11-29 | 1
2020-12-29 | 1
2021-01-29 | 1
2021-02-29 | 1
2021-03-29 | 1
2021-04-29 | 1
2021-05-29 | 1
2021-06-29 | 1
2021-07-29 | 1
2021-08-29 | 1
2021-09-29 | 1
2021-10-29 | 1
2021-11-29 | 1
2021-12-29 | 1
2022-01-29 | 1
2022-02-29 | 1
2022-03-29 | 1
2022-04-29 | 1
